# DURATION     TID      FUNCTION [SOURCE]
 146.196 us [ 991956] | __slz_initialize(); /* src/slz.c:1335 */
   1.583 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   1.914 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.661 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.772 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.731 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.841 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.722 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.832 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.671 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.771 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.601 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.711 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.621 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.721 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.070 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.191 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.832 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.932 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.571 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.681 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.071 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.181 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.751 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.851 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.171 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.551 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.651 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.792 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.892 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.621 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.722 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.180 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.752 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.852 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.752 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.862 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.070 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.180 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.651 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.741 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.180 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.070 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.181 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.080 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.190 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.671 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.771 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.070 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.180 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.651 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.761 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.070 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.181 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.070 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.180 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.071 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.181 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.661 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.761 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.081 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.191 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.070 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.180 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.080 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.191 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   1.052 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   1.152 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.792 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.912 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.080 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.201 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.180 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.050 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.161 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.141 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   2.776 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.090 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.250 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.091 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.191 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.161 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.070 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.171 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.061 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.171 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.061 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.171 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.170 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.160 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.070 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.180 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.160 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.070 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.191 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.070 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.180 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.061 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.171 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.160 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.050 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.160 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.160 us [ 991956] |   } /* create_pool_callback */
            [ 991956] |   create_pool_callback() { /* src/pool.c:1045 */
   0.060 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.160 us [ 991956] |   } /* create_pool_callback */
   0.801 us [ 991956] |   init_stream(); /* src/stream.c:2856 */
            [ 991956] |   stkt_late_init() { /* src/stick_table.c:4907 */
  56.606 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  57.108 us [ 991956] |   } /* stkt_late_init */
            [ 991956] |   init_trash_buffers() { /* src/chunk.c:90 */
   0.892 us [ 991956] |     create_pool(); /* src/pool.c:217 */
   0.721 us [ 991956] |     alloc_trash_buffers(); /* src/chunk.c:68 */
   1.923 us [ 991956] |   } /* init_trash_buffers */
            [ 991956] |   init_acl() { /* src/acl.c:1284 */
   9.187 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
   6.843 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  51.026 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  49.443 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  48.763 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  59.973 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  58.009 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  50.786 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  51.517 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  39.845 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  35.788 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  51.346 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  35.607 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  38.622 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  35.948 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  35.717 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  39.635 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  42.069 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  50.606 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.972 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.541 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.631 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.611 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.581 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.141 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  38.392 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.931 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  38.071 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  38.302 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  49.674 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  43.271 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  38.292 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  38.342 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  34.986 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  35.186 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  35.487 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  40.606 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  35.186 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  35.177 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  35.367 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  34.976 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  44.203 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  40.065 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  35.386 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  36.248 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.590 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.601 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.411 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.260 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.761 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.231 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.400 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.771 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  50.516 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  38.733 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  38.462 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  38.392 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.621 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.671 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  37.741 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  38.693 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  40.406 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  52.449 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  40.366 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  56.106 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  39.875 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  40.126 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  41.098 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  41.148 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  41.468 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  41.568 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  41.588 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  41.439 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  41.589 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  41.568 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  57.258 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
  42.721 us [ 991956] |     find_sample_fetch(); /* src/sample.c:422 */
   3.120 ms [ 991956] |   } /* init_acl */
   0.281 us [ 991956] |   usermsgs_clr(); /* src/errors.c:63 */
            [ 991956] |   memprintf() { /* src/tools.c:4234 */
   1.363 us [ 991956] |     memvprintf(); /* src/tools.c:4186 */
   1.543 us [ 991956] |   } /* memprintf */
            [ 991956] |   readcfgfile() { /* src/cfgparse.c:1695 */
   8.777 us [ 991956] |     cfg_apply_default_path(); /* src/cfgparse.c:1565 */
   0.431 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
   0.120 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
            [ 991956] |     cfg_parse_global() { /* src/cfgparse-global.c:62 */
            [ 991956] |       alertif_too_many_args() { /* src/cfgparse.c:349 */
   0.130 us [ 991956] |         alertif_too_many_args_idx(); /* src/cfgparse.c:327 */
   0.371 us [ 991956] |       } /* alertif_too_many_args */
   1.031 us [ 991956] |     } /* cfg_parse_global */
   0.902 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
            [ 991956] |     cfg_parse_global() { /* src/cfgparse-global.c:62 */
            [ 991956] |       parse_logsrv() { /* src/log.c:764 */
   0.341 us [ 991956] |         get_log_format(); /* src/log.c:1034 */
   1.633 us [ 991956] |         get_log_facility(); /* src/log.c:1064 */
   0.280 us [ 991956] |         get_log_level(); /* src/log.c:1050 */
            [ 991956] |         str2sa_range() { /* src/tools.c:943 */
   0.170 us [ 991956] |           env_expand(); /* src/tools.c:4393 */
   3.667 us [ 991956] |         } /* str2sa_range */
   7.815 us [ 991956] |       } /* parse_logsrv */
  15.920 us [ 991956] |     } /* cfg_parse_global */
   0.120 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
   0.261 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
            [ 991956] |     cfg_parse_global() { /* src/cfgparse-global.c:62 */
            [ 991956] |       alertif_too_many_args() { /* src/cfgparse.c:349 */
   0.080 us [ 991956] |         alertif_too_many_args_idx(); /* src/cfgparse.c:327 */
   0.251 us [ 991956] |       } /* alertif_too_many_args */
   7.384 us [ 991956] |     } /* cfg_parse_global */
   0.110 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
   0.251 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
            [ 991956] |     cfg_parse_global() { /* src/cfgparse-global.c:62 */
            [ 991956] |       alertif_too_many_args() { /* src/cfgparse.c:349 */
   0.060 us [ 991956] |         alertif_too_many_args_idx(); /* src/cfgparse.c:327 */
   0.211 us [ 991956] |       } /* alertif_too_many_args */
   5.711 us [ 991956] |     } /* cfg_parse_global */
   0.260 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
            [ 991956] |     cfg_parse_global() { /* src/cfgparse-global.c:62 */
            [ 991956] |       alertif_too_many_args() { /* src/cfgparse.c:349 */
   0.060 us [ 991956] |         alertif_too_many_args_idx(); /* src/cfgparse.c:327 */
   0.210 us [ 991956] |       } /* alertif_too_many_args */
   3.447 us [ 991956] |     } /* cfg_parse_global */
   0.091 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
   0.221 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
            [ 991956] |     cfg_parse_global() { /* src/cfgparse-global.c:62 */
            [ 991956] |       alertif_too_many_args() { /* src/cfgparse.c:349 */
   0.070 us [ 991956] |         alertif_too_many_args_idx(); /* src/cfgparse.c:327 */
   0.190 us [ 991956] |       } /* alertif_too_many_args */
 214.975 us [ 991956] |     } /* cfg_parse_global */
   0.421 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
            [ 991956] |     cfg_parse_global() { /* src/cfgparse-global.c:62 */
            [ 991956] |       alertif_too_many_args() { /* src/cfgparse.c:349 */
   0.121 us [ 991956] |         alertif_too_many_args_idx(); /* src/cfgparse.c:327 */
   1.032 us [ 991956] |       } /* alertif_too_many_args */
 940.295 us [ 991956] |     } /* cfg_parse_global */
   0.331 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
   0.130 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
            [ 991956] |     cfg_parse_global() { /* src/cfgparse-global.c:62 */
            [ 991956] |       alertif_too_many_args() { /* src/cfgparse.c:349 */
   0.120 us [ 991956] |         alertif_too_many_args_idx(); /* src/cfgparse.c:327 */
   0.411 us [ 991956] |       } /* alertif_too_many_args */
   1.212 us [ 991956] |     } /* cfg_parse_global */
   0.110 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
   0.140 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
            [ 991956] |     cfg_parse_global() { /* src/cfgparse-global.c:62 */
            [ 991956] |       alertif_too_many_args() { /* src/cfgparse.c:349 */
   0.060 us [ 991956] |         alertif_too_many_args_idx(); /* src/cfgparse.c:327 */
   0.201 us [ 991956] |       } /* alertif_too_many_args */
   1.593 us [ 991956] |     } /* cfg_parse_global */
   0.090 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
   0.291 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
            [ 991956] |     cfg_parse_global() { /* src/cfgparse-global.c:62 */
   0.300 us [ 991956] |       check_kw_experimental(); /* src/haproxy.c:279 */
            [ 991956] |       cfg_parse_nbthread() { /* src/thread.c:1305 */
            [ 991956] |         too_many_args() { /* src/cfgparse.c:316 */
   0.360 us [ 991956] |           too_many_args_idx(); /* src/cfgparse.c:292 */
   0.782 us [ 991956] |         } /* too_many_args */
   1.543 us [ 991956] |       } /* cfg_parse_nbthread */
  27.362 us [ 991956] |     } /* cfg_parse_global */
   0.791 us [ 991956] |     parse_line(); /* src/tools.c:5507 */
            [ 991956] |     cfg_parse_global() { /* src/cfgparse-global.c:62 */
            [ 991956] |       parse_process_number() { /* src/cfgparse.c:460 */
   0.381 us [ 991956] |         str2uic(); /* src/tools.c:2144 */
   3.506 us [ 991956] |       } /* parse_process_number */
   0.201 us [ 991956] |       parse_process_number(); /* src/cfgparse.c:460 */
            [ 991956] |       parse_cpu_set() { /* src/cfgparse.c:522 */
   0.812 us [ 991956] |         ha_cpuset_zero(); /* src/cpuset.c:10 */
   0.060 us [ 991956] |         str2uic(); /* src/tools.c:2144 */
   0.091 us [ 991956] |         ha_cpuset_size(); /* src/cpuset.c:111 */
   0.050 us [ 991956] |         ha_cpuset_size(); /* src/cpuset.c:111 */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.050 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.210 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.050 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.171 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.040 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.160 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.040 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.161 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.040 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.150 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.040 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.150 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.050 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.161 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.050 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.160 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.050 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.161 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.040 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.160 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.040 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.150 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.051 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
   0.151 us [ 991956] |         } /* ha_cpuset_set */
            [ 991956] |         ha_cpuset_set() { /* src/cpuset.c:20 */
   0.050 us [ 991956] |           ha_cpuset_size(); /* src/cpuset.c:111 */
